team,opp,match_id,shot,goal,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,team_opp,shot_opp,goal_opp,assist_opp,pass_opp,pass_accurate_opp,tackle_opp,accel_opp,counter_opp,opportunity_opp,keypass_opp,own_goal_opp,interception_opp,smart_opp,clearance_opp,cross_opp,air_duel_opp,air_duel_won_opp,gk_leave_line_opp,gk_save_attempt_opp,throw_opp,corner_opp,win
Argentina,Croatia,2057974,10,0,0,476,393,13,6,16,9,3,0,34,0,7,13,41,16,1,1,26,5,Croatia,13,3,1,334,261,6,5,11,9,3,0,41,0,8,10,44,22,1,1,23,2,False
Argentina,France,2058003,9,3,1,460,394,10,4,4,6,1,0,24,0,2,16,24,14,0,1,19,4,France,5,4,1,335,290,5,9,37,8,1,0,45,0,15,5,24,12,0,2,8,0,False
Argentina,Iceland,2057972,21,1,0,661,596,6,14,34,16,5,0,27,0,6,19,41,21,2,0,16,10,Iceland,8,1,0,183,141,7,0,4,7,2,0,59,0,23,9,50,17,1,5,12,2,False
Argentina,Nigeria,2057976,5,1,2,493,413,18,6,10,7,2,0,31,0,9,15,37,15,1,1,28,5,Nigeria,7,1,0,242,191,4,4,12,7,3,0,58,0,15,6,56,22,0,1,27,3,False
Belgium,Brazil,2058011,7,1,1,348,304,4,9,12,7,3,0,49,0,25,6,33,20,1,5,15,4,Brazil,25,1,1,498,437,3,6,13,21,9,1,39,0,6,22,25,9,0,1,14,8,False
Belgium,England,2057994,13,1,1,522,469,6,7,13,6,2,0,39,0,20,5,34,16,5,0,10,2,England,8,0,0,452,393,4,4,8,6,5,0,28,0,8,15,34,17,1,3,19,7,True
Belgium,England,2058016,11,2,2,485,427,3,24,27,5,3,0,39,0,19,13,14,4,1,5,8,4,England,14,0,0,654,593,2,4,7,10,8,0,37,0,6,16,14,10,0,0,16,5,True
Belgium,France,2058014,9,0,0,591,535,6,9,9,9,6,0,29,0,12,24,29,11,0,1,20,5,France,17,1,1,317,282,3,11,23,11,8,0,40,0,20,7,24,13,0,1,12,4,False
Belgium,Japan,2058007,24,3,2,572,501,3,7,29,20,9,0,32,0,11,20,39,21,2,4,27,9,Japan,8,2,1,432,377,6,6,3,8,1,0,49,0,25,14,36,11,3,3,9,6,True
Belgium,Panama,2057990,12,3,2,547,478,2,8,57,15,4,0,30,0,6,15,34,15,1,2,23,9,Panama,6,0,0,326,269,2,6,9,5,2,0,49,0,13,8,34,13,0,0,8,3,True
Belgium,Tunisia,2057992,22,5,4,427,358,4,12,23,18,6,0,38,0,12,15,15,7,1,3,16,5,Tunisia,12,2,2,367,298,6,4,5,10,1,0,34,0,8,12,16,8,1,4,13,2,True
Brazil,Belgium,2058011,25,1,1,498,437,3,6,13,21,9,1,39,0,6,22,25,9,0,1,14,8,Belgium,7,1,1,348,304,4,9,12,7,3,0,49,0,25,6,33,20,1,5,15,4,False
Brazil,Costa Rica,2057980,21,2,2,692,635,5,15,27,23,10,0,29,0,9,27,42,21,0,0,19,10,Costa Rica,3,0,0,268,202,9,5,4,1,1,0,46,0,17,6,45,21,3,5,13,1,True
Brazil,Mexico,2058006,17,2,1,355,302,6,13,18,17,4,0,37,0,16,16,29,13,2,1,22,8,Mexico,12,0,0,324,284,11,15,17,4,0,0,26,0,9,15,25,7,0,0,21,7,True
Brazil,Serbia,2057982,14,2,2,613,537,5,19,49,10,3,0,55,0,17,9,37,16,4,0,21,9,Serbia,10,0,0,424,356,7,4,5,6,2,0,44,0,13,26,40,22,0,1,13,5,True
Brazil,Switzerland,2057978,18,1,0,519,452,3,5,4,11,4,0,47,0,6,17,23,10,2,1,10,7,Switzerland,6,1,1,425,352,8,6,13,4,1,0,48,0,15,10,21,9,0,4,19,2,False
Colombia,England,2058009,13,4,1,497,406,10,14,33,10,6,0,45,0,14,17,89,35,2,1,25,2,England,12,5,0,529,457,1,8,11,13,7,0,67,0,22,11,86,38,0,3,24,7,False
Colombia,Japan,2057997,7,1,0,336,274,12,6,6,4,3,0,36,0,13,8,38,17,3,1,32,3,Japan,13,2,1,572,508,5,4,11,11,6,0,45,0,15,11,36,18,0,2,15,6,False
Colombia,Poland,2057998,12,3,3,499,416,8,4,19,7,1,0,40,0,17,24,71,22,2,1,16,5,Poland,6,0,0,301,245,8,5,3,4,1,0,46,0,17,7,50,25,2,0,16,7,True
Colombia,Senegal,2058001,3,1,1,414,350,9,5,4,3,2,0,24,0,8,5,39,16,2,2,25,3,Senegal,5,0,0,268,219,2,14,0,4,0,0,34,0,16,8,46,19,3,0,19,1,True
Costa Rica,Brazil,2057980,3,0,0,268,202,9,5,4,1,1,0,46,0,17,6,45,21,3,5,13,1,Brazil,21,2,2,692,635,5,15,27,23,10,0,29,0,9,27,42,21,0,0,19,10,False
Costa Rica,Serbia,2057979,10,0,0,427,363,5,2,0,6,4,0,38,0,18,15,52,20,3,3,22,5,Serbia,9,1,0,379,313,5,5,6,8,6,0,41,0,18,14,56,27,2,1,24,4,False
Costa Rica,Switzerland,2057983,13,1,1,329,272,5,6,19,12,4,0,34,0,14,13,38,23,5,0,21,5,Switzerland,11,2,2,542,481,5,7,2,9,2,1,26,0,12,14,30,10,1,4,20,6,False
Croatia,Argentina,2057974,13,3,1,334,261,6,5,11,9,3,0,41,0,8,10,44,22,1,1,23,2,Argentina,10,0,0,476,393,13,6,16,9,3,0,34,0,7,13,41,16,1,1,26,5,True
Croatia,Denmark,2058005,19,4,0,597,499,3,10,4,15,5,0,60,0,28,27,60,19,4,0,34,5,Denmark,15,3,1,506,424,5,8,6,14,4,0,67,0,23,16,67,35,1,5,33,4,True
Croatia,England,2058015,22,2,2,595,470,5,14,21,18,6,0,49,0,27,38,70,21,5,1,33,8,England,10,1,0,448,370,4,12,8,8,7,0,76,0,24,11,61,39,6,3,39,4,True
Croatia,France,2058017,14,2,1,518,429,7,19,4,10,4,1,27,0,8,25,41,19,0,4,22,6,France,7,3,0,241,186,6,6,10,8,2,0,56,0,21,2,41,22,5,0,22,2,False
Croatia,Iceland,2057977,10,2,1,497,441,6,10,31,7,1,0,37,0,21,9,41,11,6,2,25,5,Iceland,15,1,0,281,222,9,2,33,14,8,0,38,0,14,14,45,26,3,0,14,10,True
Croatia,Nigeria,2057973,9,1,0,452,372,5,3,5,8,4,0,55,0,20,14,47,28,1,2,12,6,Nigeria,12,0,0,377,322,5,6,0,8,2,1,38,0,14,13,51,16,2,0,16,5,True
Croatia,Russia,2058012,16,6,2,715,594,7,10,10,12,7,0,50,0,6,33,75,35,3,6,31,8,Russia,11,5,1,363,274,8,4,13,10,3,0,70,0,32,11,72,32,1,1,22,6,True
Denmark,Croatia,2058005,15,3,1,506,424,5,8,6,14,4,0,67,0,23,16,67,35,1,5,33,4,Croatia,19,4,0,597,499,3,10,4,15,5,0,60,0,28,27,60,19,4,0,34,5,False
Denmark,France,2057970,3,0,0,292,231,5,6,5,2,0,0,40,0,23,4,47,19,1,4,18,4,France,11,0,0,655,577,2,10,7,8,3,0,30,0,9,22,45,25,1,1,20,2,False
Denmark,Peru,2057967,10,1,1,318,266,4,8,26,8,2,0,36,0,16,10,53,26,4,1,16,7,Peru,13,0,0,360,302,5,8,2,10,5,0,35,0,11,16,43,18,0,1,19,3,True
Egypt,Russia,2057956,12,1,0,420,348,4,7,13,10,5,1,62,0,21,18,62,26,5,1,29,4,Russia,12,2,2,385,311,6,18,2,7,0,0,57,0,23,24,59,30,1,0,27,7,False
Egypt,Saudi Arabia,2057959,7,1,1,343,277,7,5,22,6,3,0,45,0,20,10,21,10,1,2,16,2,Saudi Arabia,18,2,1,632,559,6,18,32,15,6,0,34,0,12,22,23,11,1,0,14,7,False
Egypt,Uruguay,2057955,7,0,0,421,345,1,10,28,4,0,0,49,0,17,12,44,11,4,1,25,0,Uruguay,11,1,1,579,499,2,5,0,11,1,0,50,0,16,17,46,30,1,3,17,5,False
England,Belgium,2057994,8,0,0,452,393,4,4,8,6,5,0,28,0,8,15,34,17,1,3,19,7,Belgium,13,1,1,522,469,6,7,13,6,2,0,39,0,20,5,34,16,5,0,10,2,False
England,Belgium,2058016,14,0,0,654,593,2,4,7,10,8,0,37,0,6,16,14,10,0,0,16,5,Belgium,11,2,2,485,427,3,24,27,5,3,0,39,0,19,13,14,4,1,5,8,4,False
England,Colombia,2058009,12,5,0,529,457,1,8,11,13,7,0,67,0,22,11,86,38,0,3,24,7,Colombia,13,4,1,497,406,10,14,33,10,6,0,45,0,14,17,89,35,2,1,25,2,True
England,Croatia,2058015,10,1,0,448,370,4,12,8,8,7,0,76,0,24,11,61,39,6,3,39,4,Croatia,22,2,2,595,470,5,14,21,18,6,0,49,0,27,38,70,21,5,1,33,8,False
England,Panama,2057993,10,6,3,559,527,0,2,5,11,3,0,25,0,9,3,33,20,0,0,11,3,Panama,7,1,0,358,319,1,6,0,6,5,0,16,0,5,11,31,11,0,1,13,1,True
England,Sweden,2058013,11,2,2,485,402,1,14,10,11,0,0,43,0,5,28,64,30,0,0,23,6,Sweden,6,0,0,345,280,2,6,3,7,2,0,57,0,25,21,64,22,1,0,28,1,True
England,Tunisia,2057991,12,2,1,504,443,1,5,4,11,8,0,26,0,3,14,27,19,0,0,26,7,Tunisia,5,1,0,294,240,9,6,0,0,0,0,38,0,17,2,29,8,1,2,7,2,True
France,Argentina,2058003,5,4,1,335,290,5,9,37,8,1,0,45,0,15,5,24,12,0,2,8,0,Argentina,9,3,1,460,394,10,4,4,6,1,0,24,0,2,16,24,14,0,1,19,4,True
France,Belgium,2058014,17,1,1,317,282,3,11,23,11,8,0,40,0,20,7,24,13,0,1,12,4,Belgium,9,0,0,591,535,6,9,9,9,6,0,29,0,12,24,29,11,0,1,20,5,True
France,Croatia,2058017,7,3,0,241,186,6,6,10,8,2,0,56,0,21,2,41,22,5,0,22,2,Croatia,14,2,1,518,429,7,19,4,10,4,1,27,0,8,25,41,19,0,4,22,6,True
France,Denmark,2057970,11,0,0,655,577,2,10,7,8,3,0,30,0,9,22,45,25,1,1,20,2,Denmark,3,0,0,292,231,5,6,5,2,0,0,40,0,23,4,47,19,1,4,18,4,False
France,Peru,2057968,12,1,0,371,304,5,8,29,12,5,0,46,0,16,12,40,25,0,1,26,5,Peru,9,0,0,474,396,13,6,6,7,1,0,38,0,14,16,38,8,1,0,28,3,True
France,Uruguay,2058010,8,2,2,510,417,2,3,11,6,2,0,54,0,12,13,66,36,1,1,24,3,Uruguay,9,0,0,304,227,3,7,24,6,1,0,41,0,15,31,65,23,2,1,24,4,True
Germany,Korea Republic,2057988,25,0,0,685,605,5,8,3,17,6,0,23,0,10,40,27,19,0,4,28,9,Korea Republic,10,2,1,224,181,10,4,43,8,2,0,69,0,33,4,30,6,4,2,11,3,False
Germany,Mexico,2057984,24,0,0,573,498,5,4,0,21,7,0,33,0,9,36,31,16,0,2,18,8,Mexico,11,1,1,235,192,3,11,76,12,5,0,51,0,27,6,29,10,0,0,21,1,False
Germany,Sweden,2057986,16,2,0,678,602,3,8,10,13,8,0,27,0,9,45,40,15,1,2,22,8,Sweden,6,1,1,203,153,3,3,23,5,1,0,61,0,14,9,42,20,2,2,16,3,True
Iceland,Argentina,2057972,8,1,0,183,141,7,0,4,7,2,0,59,0,23,9,50,17,1,5,12,2,Argentina,21,1,0,661,596,6,14,34,16,5,0,27,0,6,19,41,21,2,0,16,10,False
Iceland,Croatia,2057977,15,1,0,281,222,9,2,33,14,8,0,38,0,14,14,45,26,3,0,14,10,Croatia,10,2,1,497,441,6,10,31,7,1,0,37,0,21,9,41,11,6,2,25,5,False
